new_label,source,original_label,original_name
1,cortical,1,7Networks_LH_Vis_1
2,cortical,2,7Networks_LH_Vis_2
3,cortical,3,7Networks_LH_Vis_3
4,cortical,4,7Networks_LH_Vis_4
5,cortical,5,7Networks_LH_Vis_5
6,cortical,6,7Networks_LH_Vis_6
7,cortical,7,7Networks_LH_Vis_7
8,cortical,8,7Networks_LH_Vis_8
9,cortical,9,7Networks_LH_Vis_9
10,cortical,10,7Networks_LH_Vis_10
11,cortical,11,7Networks_LH_Vis_11
12,cortical,12,7Networks_LH_Vis_12
13,cortical,13,7Networks_LH_Vis_13
14,cortical,14,7Networks_LH_Vis_14
15,cortical,15,7Networks_LH_Vis_15
16,cortical,16,7Networks_LH_Vis_16
17,cortical,17,7Networks_LH_Vis_17
18,cortical,18,7Networks_LH_Vis_18
19,cortical,19,7Networks_LH_Vis_19
20,cortical,20,7Networks_LH_Vis_20
21,cortical,21,7Networks_LH_Vis_21
22,cortical,22,7Networks_LH_Vis_22
23,cortical,23,7Networks_LH_Vis_23
24,cortical,24,7Networks_LH_Vis_24
25,cortical,25,7Networks_LH_Vis_25
26,cortical,26,7Networks_LH_Vis_26
27,cortical,27,7Networks_LH_Vis_27
28,cortical,28,7Networks_LH_Vis_28
29,cortical,29,7Networks_LH_Vis_29
30,cortical,30,7Networks_LH_Vis_30
31,cortical,31,7Networks_LH_Vis_31
32,cortical,32,7Networks_LH_Vis_32
33,cortical,33,7Networks_LH_Vis_33
34,cortical,34,7Networks_LH_Vis_34
35,cortical,35,7Networks_LH_Vis_35
36,cortical,36,7Networks_LH_Vis_36
37,cortical,37,7Networks_LH_Vis_37
38,cortical,38,7Networks_LH_Vis_38
39,cortical,39,7Networks_LH_Vis_39
40,cortical,40,7Networks_LH_Vis_40
41,cortical,41,7Networks_LH_Vis_41
42,cortical,42,7Networks_LH_Vis_42
43,cortical,43,7Networks_LH_Vis_43
44,cortical,44,7Networks_LH_Vis_44
45,cortical,45,7Networks_LH_Vis_45
46,cortical,46,7Networks_LH_Vis_46
47,cortical,47,7Networks_LH_Vis_47
48,cortical,48,7Networks_LH_Vis_48
49,cortical,49,7Networks_LH_Vis_49
50,cortical,50,7Networks_LH_Vis_50
51,cortical,51,7Networks_LH_Vis_51
52,cortical,52,7Networks_LH_Vis_52
53,cortical,53,7Networks_LH_Vis_53
54,cortical,54,7Networks_LH_Vis_54
55,cortical,55,7Networks_LH_Vis_55
56,cortical,56,7Networks_LH_Vis_56
57,cortical,57,7Networks_LH_Vis_57
58,cortical,58,7Networks_LH_Vis_58
59,cortical,59,7Networks_LH_Vis_59
60,cortical,60,7Networks_LH_Vis_60
61,cortical,61,7Networks_LH_Vis_61
62,cortical,62,7Networks_LH_Vis_62
63,cortical,63,7Networks_LH_Vis_63
64,cortical,64,7Networks_LH_Vis_64
65,cortical,65,7Networks_LH_Vis_65
66,cortical,66,7Networks_LH_Vis_66
67,cortical,67,7Networks_LH_Vis_67
68,cortical,68,7Networks_LH_Vis_68
69,cortical,69,7Networks_LH_Vis_69
70,cortical,70,7Networks_LH_Vis_70
71,cortical,71,7Networks_LH_Vis_71
72,cortical,72,7Networks_LH_Vis_72
73,cortical,73,7Networks_LH_Vis_73
74,cortical,74,7Networks_LH_Vis_74
75,cortical,75,7Networks_LH_Vis_75
76,cortical,76,7Networks_LH_Vis_76
77,cortical,77,7Networks_LH_Vis_77
78,cortical,78,7Networks_LH_Vis_78
79,cortical,79,7Networks_LH_Vis_79
80,cortical,80,7Networks_LH_Vis_80
81,cortical,81,7Networks_LH_Vis_81
82,cortical,82,7Networks_LH_SomMot_1
83,cortical,83,7Networks_LH_SomMot_2
84,cortical,84,7Networks_LH_SomMot_3
85,cortical,85,7Networks_LH_SomMot_4
86,cortical,86,7Networks_LH_SomMot_5
87,cortical,87,7Networks_LH_SomMot_6
88,cortical,88,7Networks_LH_SomMot_7
89,cortical,89,7Networks_LH_SomMot_8
90,cortical,90,7Networks_LH_SomMot_9
91,cortical,91,7Networks_LH_SomMot_10
92,cortical,92,7Networks_LH_SomMot_11
93,cortical,93,7Networks_LH_SomMot_12
94,cortical,94,7Networks_LH_SomMot_13
95,cortical,95,7Networks_LH_SomMot_14
96,cortical,96,7Networks_LH_SomMot_15
97,cortical,97,7Networks_LH_SomMot_16
98,cortical,98,7Networks_LH_SomMot_17
99,cortical,99,7Networks_LH_SomMot_18
100,cortical,100,7Networks_LH_SomMot_19
101,cortical,101,7Networks_LH_SomMot_20
